w,gap
0.55,-0.60
0.01,1.09
0.05,3.93
0.04,7.13
0.26,-0.71
0.30,-1.11
0.05,1.38
0.19,-1.45
0.18,0.59
0.08,3.01
0.15,-0.94
0.25,-0.58
0.00,0.71
0.01,1.53
0.00,1.12
0.18,-1.21
0.00,2.04
0.92,0.69
0.05,3.80
0.46,-0.71
0.04,9.47
0.02,8.88
0.00,2.82
0.00,12.14
0.05,1.04
0.47,-0.67
0.23,-1.25
0.07,2.78
0.04,2.65
0.01,2.24
0.07,4.48
0.03,0.72
0.21,-0.91
0.02,0.93
0.11,-1.88
0.02,17.25
0.03,4.93
0.04,1.58
0.04,2.37
0.03,4.36
0.00,8.81
0.05,0.53
0.07,8.78
0.06,5.49
0.31,-1.09
0.31,-0.87
0.48,-0.73
0.01,0.73
0.27,-1.25
0.62,0.54
0.09,6.13
0.00,1.49
0.26,-1.18
0.16,-1.83
0.03,1.35
0.10,-1.83
0.00,3.27
0.01,3.56
0.01,2.31
0.05,4.25
0.30,-0.86
0.06,1.41
0.11,-1.89
0.02,4.30
0.00,2.02
0.27,-1.15
0.16,-1.81
0.38,-0.62
0.00,3.28
0.00,6.45
0.40,-0.83
0.11,1.20
0.30,-1.19
0.14,0.87
0.00,7.46
0.02,2.59
0.45,-0.74
0.00,8.34
0.24,-0.77
0.03,0.91
0.01,1.31
0.12,1.01
0.05,2.11
0.00,3.97
0.25,-0.52
0.11,3.94
0.02,3.26
0.09,1.49
0.18,-0.96
0.01,1.92
0.01,4.62
0.04,2.87
0.05,4.84
0.00,9.92
0.00,5.02
0.54,-0.60
0.04,6.02
0.21,-0.98
0.00,7.53
0.02,2.06
0.00,9.97
0.48,-0.75
0.01,0.87
0.20,-1.54
0.89,0.54
0.00,1.35
0.12,-1.82
0.04,7.66
0.04,4.21
0.11,4.15
0.80,1.43
0.66,0.61
0.00,10.81
0.06,3.20
0.02,9.42
0.03,5.23
0.01,2.40
0.04,10.48
0.29,-0.67
0.02,5.61
0.17,1.47
0.00,3.32
0.42,-0.84
0.50,-0.59
0.46,-0.77
0.17,1.32
0.01,4.61
0.14,-1.22
0.06,7.95
0.19,-1.13
0.05,4.40
0.00,0.86
0.00,2.37
0.12,1.25
0.32,-0.87
0.14,-1.43
0.29,-1.17
0.00,6.58
0.02,3.77
0.23,-1.46
0.00,8.58
0.19,-1.67
0.05,6.27
0.92,0.62
0.02,4.07
0.31,-0.96
0.00,3.10
0.00,5.73
0.54,-0.58
0.46,-0.78
0.16,0.56
0.46,-0.76
0.01,4.94
0.00,11.03
0.03,1.54
0.07,-1.64
0.03,4.12
0.01,-0.68
0.64,0.55
0.07,5.86
0.45,-0.79
0.03,1.42
0.02,6.70
0.01,5.32
0.00,9.33
0.48,-0.73
0.04,7.57
0.04,1.92
0.00,3.85
0.12,1.91
0.45,-0.61
0.01,5.09
0.88,0.52
0.52,1.00
0.04,0.63
0.01,4.74
0.11,6.39
0.00,5.94
0.03,1.67
0.04,6.27
0.00,5.81
0.00,3.94
0.60,-0.50
0.00,5.30
0.43,-0.72
0.04,4.21
0.03,3.56
0.00,7.16
0.29,-1.24
0.18,1.05
0.78,0.59
0.01,2.97
0.44,-0.70
0.49,-0.70
0.02,1.09
0.85,0.51
0.47,-0.69
0.00,2.53
0.00,0.92
0.01,4.42
0.02,9.84
0.00,5.55
0.01,2.02
0.20,-1.46
0.02,0.75
0.00,2.31
0.24,-1.40
0.09,-2.38
0.08,4.28
0.00,2.45
0.30,-1.14
0.00,4.47
0.06,3.89
0.03,6.06
0.07,4.48
0.20,-1.63
0.00,5.64
0.05,5.12
0.36,-0.99
0.01,2.89
0.09,1.20
0.00,10.21
0.01,2.70
0.08,9.83
0.28,-0.87
0.00,8.95
0.19,-0.90
0.05,1.36
0.81,0.54
0.30,-1.08
0.00,3.22
0.02,3.14
0.09,5.09
0.09,0.89
0.00,13.82
0.04,10.79
0.05,2.16
0.01,4.92
0.49,-0.61
0.02,1.92
0.45,-0.63
0.20,-1.44
0.01,3.69
0.07,6.90
0.04,11.50
0.00,1.88
0.04,3.49
0.04,5.25
0.03,4.28
0.16,0.56
0.06,3.81
0.06,6.01
0.50,-0.69
0.02,0.64
0.16,-0.91
0.23,-1.29
0.12,3.27
0.44,-0.73
0.08,3.88
0.27,-1.18
0.02,10.12
0.18,-1.34
0.00,5.63
0.02,4.95
0.58,-0.52
0.56,-0.56
0.43,-0.75
0.39,-0.65
0.00,5.00
0.00,1.80
0.02,4.38
0.00,7.36
0.11,6.68
0.35,-1.04
0.02,1.45
0.00,4.49
0.01,9.75
0.22,1.58
0.00,2.66
0.00,10.12
0.00,18.05
0.23,-1.03
0.52,-0.61
0.08,3.07
0.01,5.12
0.45,-0.76
0.00,1.87
0.00,15.38
0.02,3.80
0.15,2.51
0.39,-0.71
0.06,7.66
0.10,4.71
0.48,-0.56
0.25,-1.09
0.50,-0.67
0.02,5.58
0.11,1.56
0.20,-1.43
0.02,1.07
0.00,4.86
0.36,-0.97
0.00,5.80
0.00,0.90
0.18,0.72
0.30,-1.15
0.21,-1.34
0.05,6.98
0.04,4.10
0.03,4.31
0.05,10.89
0.07,2.34
0.05,3.21
0.00,0.99
0.33,-0.74
0.51,-0.66
0.01,1.73
0.05,6.59
0.00,1.86
0.05,0.69
0.45,-0.79
0.03,0.95
0.31,-1.11
0.07,3.36
0.05,5.99
0.52,-0.66
0.16,0.54
0.05,2.08
0.02,4.76
0.08,-2.45
0.02,2.35
0.25,-1.35
0.03,5.16
0.09,6.79
0.45,-0.56
0.02,3.86
0.00,2.55
0.28,-0.89
0.08,2.07
0.15,-1.88
0.39,-0.93
0.00,6.59
0.11,0.89
0.46,-0.70
0.01,6.93
0.01,1.25
0.26,-0.69
0.38,-0.97
0.04,3.50
0.06,9.23
0.09,1.54
0.00,5.54
0.05,1.95
0.04,5.48
0.00,2.82
0.00,3.00
0.00,3.75
0.47,-0.73
0.36,0.61
0.05,6.71
0.16,3.10
0.04,4.10
0.11,2.13
0.07,1.75
0.00,5.95
0.23,-1.00
0.33,-0.68
0.05,2.72
0.95,0.52
0.00,8.71
0.06,1.08
0.00,7.36
0.01,4.65
0.15,-1.10
0.01,6.15
0.25,-0.98
0.02,0.86
0.00,4.23
0.11,0.71
0.00,2.73
0.75,1.36
0.05,5.49
0.12,2.11
0.59,-0.52
0.01,9.24
0.04,2.25
0.09,-2.27
0.00,3.61
0.23,-1.15
0.00,5.24
0.00,7.92
0.24,-1.00
0.05,3.14
0.05,3.26
0.00,5.48
0.04,1.06
0.04,3.85
0.20,1.84
0.02,4.15
0.38,-0.91
0.00,6.94
0.05,-0.71
0.34,-1.02
0.11,-1.18
0.00,6.60
0.01,5.67
0.09,3.40
0.00,4.00
0.03,5.08
0.31,-0.66
0.00,24.64
0.00,1.79
0.01,1.09
0.21,1.02
0.01,0.77
0.31,-0.96
0.00,5.55
0.03,5.02
0.29,-1.13
0.01,10.66
0.27,-1.14
0.09,3.69
0.58,1.43
0.17,1.00
0.00,1.40
0.00,6.77
0.11,-0.93
0.02,0.62
0.00,9.40
0.40,-0.88
0.59,-0.53
0.49,-0.69
0.03,6.34
0.04,0.63
0.08,13.57
0.06,7.65
0.26,-1.31
0.54,-0.62
0.00,1.75
0.02,5.13
0.05,2.41
0.07,2.10
0.02,5.59
0.13,-1.23
0.02,2.21
0.20,-1.37
0.01,1.34
0.23,-1.17
0.05,3.48
0.00,2.95
0.12,2.64
0.02,0.81
0.07,1.49
0.39,-0.94
0.02,2.89
0.46,-0.77
0.12,0.66
0.16,-0.98
0.04,3.17
0.16,-1.30
0.20,-1.59
0.06,-0.67
0.07,-0.66
0.02,2.14
0.02,3.55
0.01,7.94
0.03,3.50
0.02,5.60
0.06,3.65
0.00,1.68
0.02,11.50
0.28,-0.72
0.11,-2.23
0.23,-0.86
0.05,3.87
0.00,2.13
0.00,5.97
0.01,7.67
0.23,-1.25
0.00,3.93
0.00,7.33
0.02,1.93
0.14,-1.85
0.01,1.62
0.01,4.61
0.00,3.31
0.41,-0.89
0.00,1.64
0.41,-0.90
0.00,8.87
0.04,3.43
0.72,1.14
0.00,2.62
0.48,-0.72
0.11,2.27
0.23,-1.32
0.05,2.68
0.34,-1.03
0.85,0.63
0.00,3.67
0.04,1.18
0.00,1.68
0.05,1.89
0.02,3.33
0.33,-0.90
0.04,3.68
0.04,5.48
0.12,1.24
0.00,7.62
0.02,2.06
0.05,7.56
0.08,5.23
0.07,6.89
0.16,-1.85
0.02,4.21
0.00,12.07
0.35,-0.71
0.45,-0.79
0.02,6.19
0.13,1.26
0.08,1.00
0.25,-0.89
0.11,-2.05
0.02,5.31
0.06,2.54
0.01,2.51
0.00,5.95
0.03,0.62
0.04,5.74
0.00,5.90
0.01,7.66
0.36,-0.98
0.27,-1.00
0.00,6.93
0.00,0.88
0.00,3.19
0.13,-0.51
0.05,5.79
0.00,1.36
0.55,-0.59
0.03,4.02
0.01,4.65
0.28,-0.88
0.20,1.89
0.00,4.67
0.48,0.92
0.21,-0.77
0.00,9.57
0.00,2.72
0.07,3.34
0.00,3.02
0.27,-1.26
0.02,6.65
0.06,1.35
0.06,-0.57
0.37,-1.01
0.41,-0.55
0.03,3.17
0.00,0.71
0.02,4.33
0.17,-1.63
0.02,0.67
0.32,-1.07
0.00,2.82
0.41,-0.67
0.17,-1.66
0.45,-0.75
0.07,3.62
0.44,-0.76
0.08,3.70
0.58,-0.54
0.02,3.02
0.00,2.07
0.29,-0.98
0.00,6.36
0.05,4.37
0.09,2.61
0.01,1.21
0.09,5.84
0.30,-0.88
0.82,0.51
0.26,-1.19
0.14,1.27
0.10,2.51
0.00,2.30
0.00,0.78
0.87,0.63
0.00,8.11
0.11,-1.05
0.55,-0.58
0.07,2.38
0.20,-0.74
0.03,3.27
0.31,-1.14
0.18,-1.62
0.00,1.57
0.09,0.72
0.04,4.12
0.00,7.80
0.11,0.59
0.00,2.07
0.02,5.31
0.41,-0.56
0.37,-1.00
0.03,3.12
0.04,6.13
0.00,1.54
0.54,-0.62
0.00,4.03
0.10,0.82
0.35,-0.83
0.27,-0.96
0.05,3.69
0.19,0.66
0.22,-1.09
0.38,-0.79
0.02,7.64
0.01,6.70
0.03,3.55
0.03,4.46
0.14,3.19
0.00,1.90
0.12,3.61
0.26,-1.33
0.11,-2.10
0.03,2.20
0.09,1.86
0.02,5.24
0.79,0.83
0.03,2.84
0.05,3.16
0.08,2.46
0.23,-0.84
0.01,1.52
0.05,0.69
